water_year,water_month,rep,flow,model,rcp,water_day,scenario
1981,5,9,502983.24,CESM1,8.5,130,RCP 4.5 and 8.5 1996
1982,5,10,365638.85,CESM1,8.5,148,RCP 4.5 and 8.5 1996
1982,6,10,458956.48,CESM1,8.5,152,RCP 4.5 and 8.5 1996
1983,5,6,266649.61,CESM1,8.5,131,RCP 4.5 and 8.5 1996
1983,6,4,218728.88,CESM1,8.5,153,RCP 4.5 and 8.5 1996
1984,4,5,381333.01,CESM1,8.5,115,RCP 4.5 and 8.5 1996
1984,5,5,365090.92,CESM1,8.5,144,RCP 4.5 and 8.5 1996
1985,3,3,57977.44,CESM1,8.5,75,RCP 4.5 and 8.5 1996
1985,8,7,70095.87,CESM1,8.5,215,RCP 4.5 and 8.5 1996
1986,3,2,24129.72,CESM1,8.5,89,RCP 4.5 and 8.5 1996
1986,3,7,34607.31,CESM1,8.5,64,RCP 4.5 and 8.5 1996
1986,4,1,24078.21,CESM1,8.5,93,RCP 4.5 and 8.5 1996
1987,5,5,82314.15,CESM1,8.5,143,RCP 4.5 and 8.5 1996
1988,2,7,57880.05,CESM1,8.5,58,RCP 4.5 and 8.5 1996
1988,4,2,40717.49,CESM1,8.5,96,RCP 4.5 and 8.5 1996
1988,6,4,41707.27,CESM1,8.5,156,RCP 4.5 and 8.5 1996
1989,6,4,54586.09,CESM1,8.5,158,RCP 4.5 and 8.5 1996
1989,7,3,50233.05,CESM1,8.5,194,RCP 4.5 and 8.5 1996
1989,7,4,53200.7,CESM1,8.5,190,RCP 4.5 and 8.5 1996
1990,4,5,57114.61,CESM1,8.5,97,RCP 4.5 and 8.5 1996
1990,7,1,51105.99,CESM1,8.5,189,RCP 4.5 and 8.5 1996
1990,7,4,55035.77,CESM1,8.5,186,RCP 4.5 and 8.5 1996
1991,7,2,71339.17,CESM1,8.5,187,RCP 4.5 and 8.5 1996
1991,7,8,106732.17,CESM1,8.5,207,RCP 4.5 and 8.5 1996
